plant_id,pi_camera_id,image_path before harvest,image_path after harvest,total.shoot.fw.mg,shoot.pixel,height.pixel,solidity,genotype,specie,location,temperature_celsius,seeds_in_germination,treatment_started,biomas_harvested,height_base_to_tip_of_longest_culm_cm,height_base_to_top_collar_of_longest_culm_cm,panicle FW(g),stemFW(mg),leaf FW(mg),panicle DW(mg),stemDW(mg),leaf DW(mg),roots DW (mg)
158-102,158-002-001,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-002/10.9.1.82_pos-158-002-002_2019-02-12-08-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-002/10.9.1.82_pos-158-002-002_2019-02-12-09-05.jpg,6261.6,NA,NA,NA,ME034V-1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,2/12/2019,48,28,1.6,4790,1470,735.3,1028.4,291.3,213.9
158-103,158-002-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-002/10.9.1.82_pos-158-002-002_2019-01-22-08-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-002/10.9.1.82_pos-158-002-002_2019-01-22-11-05.jpg,1151.3119,35208,1012,0.09484492203,ME034V-1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,1/22/2019,30.3,20,0.1119,675.3,475.9,22.5,73.3,57.3,22.8
158-104,158-002-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-002/10.9.1.82_pos-158-002-002_2019-01-22-08-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-002/10.9.1.82_pos-158-002-002_2019-01-22-11-05.jpg,1423.4711,NA,NA,NA,ME034V-1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,1/22/2019,32.5,22,0.1711,859.2,564.1,33.5,90.7,67.6,28.6
158-105,158-002-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-002/10.9.1.82_pos-158-002-002_2019-01-29-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-002/10.9.1.82_pos-158-002-002_2019-01-29-11-05.jpg,4290.94,124317,1469,0.08978520581,ME034V-1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,1/29/2019,51.2,25.1,0.94,2750,1540,248.4,382.6,210.8,69.8
158-106,158-002-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-002/10.9.1.82_pos-158-002-002_2019-01-29-14-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-002/10.9.1.82_pos-158-002-002_2019-01-29-15-05.jpg,2660.66,100802,1127,0.1006623813,ME034V-1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,1/29/2019,35,24.8,0.66,1720,940,168.4,231.4,139.5,45.3
158-109,158-002-003,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-003/10.9.1.81_pos-158-002-003_2019-02-12-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-003/10.9.1.81_pos-158-002-003_2019-02-12-12-05.jpg,830.45,26865,299,0.2441806564,Les1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,2/12/2019,15,10.2,0.45,480,350,251.2,72.2,54.4,18.1
158-110,158-002-003,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-003/10.9.1.81_pos-158-002-003_2019-02-19-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-003/10.9.1.81_pos-158-002-003_2019-02-19-12-05.jpg,1985.5212,45114,805,0.1894726232,Les1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,2/19/2019,17.3,12.3,1.1212,1304.4,680,725.4,254.1,134.5,72
158-112,158-002-003,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-003/10.9.1.81_pos-158-002-003_2019-01-22-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-003/10.9.1.81_pos-158-002-003_2019-01-22-12-05.jpg,710.07,25324,637,0.2168995628,Les1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,1/22/2019,15.3,18.5,0.07,350,360,10.3,34,39.7,8.8
158-114,158-002-003,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-003/10.9.1.81_pos-158-002-003_2019-02-05-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-002-003/10.9.1.81_pos-158-002-003_2019-02-05-12-05.jpg,1420.6,56444,679,0.2112120821,Les1,setaria viridis,GCH158-mid-tier,31,1/3/2019,1/11/2019,2/5/2019,23.2,14.2,0.6,875,545,263,124,77.6,30.3
158-127,158-001-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-002/10.9.1.78_pos-158-001-002_2019-02-05-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/158-001-002/10.9.1.78_pos-158-001-002_2019-02-05-10-05.jpg,1310.41,49853,681,0.211428317,ME034V-1,setaria viridis,GCH158-low-tier,31,1/3/2019,1/11/2019,2/5/2019,27,12.8,0.41,850,460,159.2,119,77.8,36.5
